Question,op1,op2,op3,op4,ans
 বিশ্ব গ্রাম শব্দটি দ্বারা নিম্নের কোনটি বোঝানো হয়েছে?, ছোট গ্রাম, বড় গ্রাম, তথ্য প্রযুক্তি, মাইক্রোসফট ওয়ার্ড,op3
 সর্ব প্রথম বিশ্ব গ্রাম ধারনার অবতারনা করেন কে?, মার্শাল ম্যাকুলহান, দ্যা গুটেনবার্গ গ্যালাক্রি, ইনটারর পল,  ইউনুস,op1
 কোন দেশকে স্বল্প সময়ের মধ্যে উন্নত দেশের সারিতে আনতে হলে নিচের কোন উপাদানের উপস্থিত আবশ্যক,?, খেলা-ধুলা, তথ্য ও যোগাযোগ প্রযুক্তি, ব্যবসায় -বানিজ্য,op3
 যোগাযোগ ব্যবস্থার অবর্ননীয় পরিবর্তনের একটি মাইল ফলক হচ্ছে-, বাস, ট্রেন, বিশ্বগ্রাম, ফোন,op3
 বিশ্বগ্রামের সাথে কিসের সম্পর্ক ?, ইন্টারনেট, কম্পিউটার, মডেম, হাব,op1
 বিশ্বগ্রামের ধারনা কত সালে রূপ নেয় ?, ১৯৬৯ সালে, ১৯৭০ সালে, ১৮৭১ সালে, ১৯৭২ সালে,op2
" কোন ব্যবস্থার ফলে কাজের গতি বেড়েছে, সময়ের অপচয় কমেছে, অর্থ ও শ্রমের সাশ্রয় হয়েছে?", ইন্টারনেট, তথ্য প্রযুক্তি, বিশ্বগ্রাম, কম্পিউটার,op2
 কিসের মাধ্যমে বিশ্বগ্রাম সমগ্র বিশ্বে কর্মসংস্থানের সুযোগ তৈরী করে দিয়েছে?, অনলাইন, DNA, মোবাইল, ডাক ব্যবস্থা,op3
 ই- কমার্স নিচের কোন ক্ষেত্রে সবচেয়ে বেশি প্রভাব ফেলেছে?, বাসস্থান, ব্যবসায় -বানিজ্য, মহাকাশ অভিজান, চিকিৎসা,ব্যবসায়-বানিজ্য
 ক্রায়োসার্জারী চিকিৎসা কোন ধরনের রোগের চিকিৎসা নির্নয় ব্যবহার করা হয়?, উচ্চ রক্তচাপ, এইডস, চামড়ার ক্যানসার, হার্ট-এটাক,op3
 আঙ্গুলের ছাপ নেওয়া হয় কোন পদ্ধতিতে?, জেনেটিক টেকনোলজী, ইনফরমেট্রিক্স, বায়োইনফরমেট্রিক্স, বায়োমেট্রিক্স,op4
 বর্তমানে কোন ব্যবস্থায় একজন ছাত্র ক্লাসে না গিয়ে ঘরে বসে যে কোনো শিক্ষকের ক্লাসে অংসগ্রহন,করতে পারেন?, ইন্টারনেট, শিক্ষকের প্রত্যক্ষ তত্ত্ববধান, যোগাযোগ,op2
 বাস্তব নয় কিন্তু ব্যবহারকারি নিচের কোনটিকে বাস্তব মনে করেন ?, ত্রি-মাত্রিক ছবি, ভার্চুয়াল রিয়েলিটি, টিভির ছবি, রিয়েলিটি শো,op2
 ভার্চুয়াল রিয়েলিটি হলো কাল্পনিক মাল্টিমিডিয়া ব্যবহার যা নিচের কোন অবস্থার সৃষ্টি করে ?, বাস্তব জগতে থাকা, অবাস্তব জগতে থাকা, অদ্ভূত বাস্তবতার জগতে হারিয়ে যাওয়া, প্রভাবিত হওয়া,op3
 ভার্চুয়াল রিয়েলিটি অ্যাপ্লিকেশন তৈরির জন্য কোন উপাদানটি নিয়ে কাজ করতে হয়?, কম্পিউটার, বিহেভিয়ার, তথ্য ব্যবস্থা, এনভায়ণমেন্ট,op4
 আর্টিফিশিয়াল ইন্টেলিজেন্স হচ্ছে--, নলেজ বেজড সিস্টেম, নলেজ সিস্টেম, কম্পিউটার সিস্টেম, ইন্টারনেট সিস্টেম,op1
 মাইসিন কোন প্রকৃতির কৃত্রিম ব্যবস্থা?, যোগাযোগ, কর্ম, চিকিৎসা, বাসস্থান,op3
 প্রসেপেটর নিচের কোন কাজে ব্যবহার করা হয়?, কৃত্রিম বুদ্ধিমত্তা, খনিজ সম্পদ খোজা, সমুদ্র অভিযান, মহাকাশযান,op4
 মানুষের চিন্তা-চেতনাকে কৃত্রিম উপায়ে কম্পিউটারের মাধ্যমে বিভিন্ন রূপে উপস্থাপন করার নামই,হচ্ছে----, তথ্য ও যোগাযোগ প্রযুক্তি, রোবোটিক্স, কৃত্রিম বুদ্ধিমত্তা,op4
 প্রযুক্তির যে শাখা রোবোটিক ডিজাইন সংগঠন নিয়ন্ত্রন এবং পরিচালনায় সংযুক্ত তাকে কী বলে?, রোবোটিকস, বায়োমেট্রিক্স, ইনফরমেটিক্স, বিহেভিয়ার,op1
" বর্তমানে বোমা নিস্ক্রয়করন, খনিতে, মহাকাশ, পরিবেশ পরিছন্নতায় ইত্যাদি ক্ষেত্রে মানুষের",জায়গায় কী ব্যবহার হচ্ছে-, কুকুর, রোবট, গরু,op3
 বর্তমানে চামড়ার ক্যানসার নিরাময়ে কোন প্রযুক্তির ব্যবহার হচ্ছে -, ভার্চুয়াল রিয়েলিটি, ইনফরমেট্রিক্স, ক্রায়োসার্জারি, নরমাল সার্জারি,op3
 ক্রায়োসার্জারিতে কী রকম নাইট্রোজেন ব্যবহার করা হয়-, শক্ত, নরম, বাসস্থান, তরল,op4
 ক্রায়োসার্জারীতে অসুস্থ টিসুকে ধ্বংস করা হয়-, অতিমাত্রায় ঠান্ডা প্রয়োগ, অতিমাত্রায়া গরম প্রয়োগ, ঠান্ডা গরম দুটো প্রয়োম, সাধারন তাপমাত্রায়,op1
 ক্রায়োসার্জারিতে নিচের কোন ক্ষেত্রে গুরুত্বপূর্ন ?, শিক্ষা, চিকিৎসা, বাসস্থান, সংস্কতি,op2
 ক্রায়োসার্জারিতে নিচের কোন পদার্থটি ব্যবহার করা হয় ?, তরল, জৈব, গ্যাস, অজৈব,op1
 আজকাল বিজ্ঞানীরা মহাকাশে গবেষনার জন্য কী পাঠাচ্ছে?, মানুষ, রোবট, পাখি, কুকুর,op2
 মৃত ব্যক্তির DNA পর্যালোচানোর জন্য কোন প্রযুক্তি ব্যবহার করা হয় ?, বায়োমেট্রিক্স, জেনেটিক ইঞ্জিনিয়ারিং, ক্রায়োসার্জারি, ন্যানো সার্জারি,op2
