Question,op1,op2,op3,op4,ans
 বাইনারি ডিজিটকে সংক্ষেপে বলে-,বাইট,বিট,কিলোবাইট,বাডিজিট,op2
 বর্তমান গণিতের জন্ম হয়েছে-,অংক থেকে,গণনা থেকে,গণিত থেকে,সংখ্যা থেকে,op2
 প্রাচীন ব্যাবিলনের মানুষের বড় সংখ্যা প্রকাশের জন্য কত ভিত্তিক সংখ্যা ব্যবহার করতেন?,০২ ভিত্তিক,০৪ ভিত্তিক,৩০ ভিত্তিক,৬০ ভিত্তিক,op4
 শুণ্য এর ব্যবহার ছিল না কোন সংখ্যা পদ্ধতিতে?,রোমান ও ইউরোপিয়ান সংখ্যা পদ্ধতিতে,ভারতীয় ও আরবীয়দের  সংখ্যা পদ্ধতিতে,ভারতীয় ও উপমহাদেশে,আরবীয়দের সংখ্যা পদ্ধতিতে,
 সর্বপ্রথম ইনফিনিটি বা অসীম (∞ ) এর আবিস্কার কে প্রচলন করেন?,পিথাগোরাস,নিউটন,এরিস্টটল,গ্যালিলিও,op3
 ভগ্নাংশ সংখ্যা সর্বপ্রথম প্রবর্তন হয় কোথায়?,গ্রিকে,ইরাকে,ভারতে,মিসরে,op4
 কোন সংখ্যা পদ্ধতি শুধু মানের উপর নির্ভর করে না এবং তা অবস্থানের উপর নির্ভর করে?,অক্টাল সংখ্যা পদ্ধতি,বাইনারি সংখ্যা পদ্ধতি,পজিশনাল সংখ্যা পদ্ধতি,নন-পজিশনাল সংখ্যা পদ্ধতি,পজিশনাল সংখ্যা পদ্ধতি।
 প্রায় ৫০০ খ্রিস্টাব্দের দিকে এ্যারাবয়ানরা ভারতীয়দের কাছ থেকে কোন পদ্ধতি আয়ত্ত করেন?,বাইনারি সংখ্যা পদ্ধতি,অক্টাল সংখ্যা পদ্ধতি,পজিশনাল সংখ্যা পদ্ধতি,নন-পজিশনাল সংখ্যা পদ্ধতি,op3
 আরবরা গণনা পদ্ধতিতে আয়ত্ব করেছিলেন কাদের কাছ থেকে?,চীনদের কাছ থেকে,গ্রিকদের কাছ থেকে,ভারতীয়দের কাছ থেকে,মিসরীয়দের কাছ থেকে,op4
 মানুষ কম্পিউটারে কোন সংখ্যা পদ্ধতি ব্যবহারে ইনপুট প্রদান করে?,দশমিক সংখ্যা পদ্ধতি,বাইনারি সংখ্যা পদ্ধতি,অকটাল সংখ্যা পদ্ধতি,হেক্সাডেসিমেল,op1
 কম্পিউটার যে সংখ্যা ব্যবহার করে কাজ সম্পূর্ণ করে সে সংখ্যা পদ্ধতি কোনটি-,দশমিক সংখ্যা পদ্ধতি,বাইনারি সংখ্যা পদ্ধতি,অকটাল সংখ্যা পদ্ধতি,হেক্সাডেসিমেল,op2
 দশমিক সংখ্যা পদ্ধতির বেজ কত?,02 বেজ,08 বেজ,10 বেজ,16 বেজ,op3
 দশমিক সংখ্যা পদ্ধতির অংক কতটি?,16 টি,02 টি,08 টি,10 টি,op4
 প্রাচীন মিসরীয় শিলালিপিতে “⌒” চিহ্ন দ্বারা নিচের কোন দশমিক সংখ্যা প্রকাশ করা হয়।,১,১০,১০০,১০০০০,op2
 মৌলিক চিহ্ন ব্যবহৃত হয় দশমিক সংখ্যা পদ্ধতিতে-,০৮টি,১০টি,০২টি,১৬ট,op2
 ডেসিমেল ১৬ দ্বারা বাইনরি সংখ্যা পদ্ধতির মান কত?,1010,1110,10000,1111,op3
 বর্তমান সময়ে আলোচিত IPV6 পদ্ধতিটি নিচের কোন সংখ্যা পদ্ধতির উপর ভিত্তি করে তৈরি?,দশমিক সংখ্যা পদ্ধতি,বাইনারি সংখ্যা পদ্ধতি,অকটাল সংখ্যা পদ্ধতি,হেক্সাডেসিমেল,op4
 (AB)16 হেক্সাডেসিমেল সংখ্যার বাইনারি সমতুল্য মান-,(১০১১১০১০)২,(১০১০১০১১) ২,(১০০১০১১০) ২,(১০১১০০০১) ২,op2
 (১০১০১.১০১)২ সংখ্যাটির অক্টাল মান-,(২৫)৮,(২৫)৮,(৫২)৮,(২৬)৮,op1
 (০.২৬) ৮ বাইনারি মান-,(১০০১১)২,(১০০০১১)২,(০১০১১০)২,(০১০১০১১০)২,op3
 (১.২৫)১০ বাইনারিতে রুপান্তর করলে কত হবে?,(০২৫)২,(০১)২,(০৫)২,(১১)২,op2
 কম্পিউটার গণিতে কয়টি সংখ্যা পদ্ধতি ব্যবহৃত হয়?,3টি,3টি,4টি,5টি,op3
 উপস্থাপন প্রকাশের পদ্ধতির উপর ভিত্তি করে সংখ্যা পদ্ধতিকে কয়ভাগে ভাগ করা হয়?,2 ভাগে,3 ভাগে,4 ভাগে,6 ভাগে,op3
 (২৮)১০ সংখ্যার অকটাল মান কত?,(৩৪)৮,( ৭৭)৮,(২২)৮,(৬৬)৮,op1
 বাইনারি ১১১১ এর দশমিক মান কোনটি?,১৪,১৫,১৬,১৭,op2
 অকটাল সংখ্যা পদ্ধতি ভিত্তি কত?,০২ভিত্তি,১০ভিত্তি,০৮ভিত্তি,১৬ভিত্তি,op3
 কোন বাইনারি সংখ্যা দশমিক সমতূল্য ৩৬৮?,১০১১১০০০০,১১০১১০০০০,১১১০১০০০০,১১১১০০০০০,op1
 (৭৩৪)৮ হেক্সাডেসিমেল সমতুল্য মান-, CID, DC1, CCD,1DC,op4
 দশমিক 84 কে অকটাল সংখ্যায় পরিনত করলে কত হবে?,১২৪,১২৫,১২৭,১২৮,op1
 বাইনারি সংখ্যা ১০১১১ এর পূরক কত?,১১১১১,০০১১১,০১০০০,১১০০০,op3
(১১১০১)২ এর দশমিক মান কত?,১৫,১৮,২৯,৩১,op3
 ১১০০ ও ১১১ এর বাইনারি যোগ-,১১০০১,১০০১০,১০০১১,১১০১০,op3
 বাইনারি বিয়োগ কয়টি নিয়ম মেনে চলে-,২টি,৪টি,৩টি,৫টি,op2
 ১০১১ থেকে ১১০ এর বিয়োগফল বাইনারি নিয়মে-,১১০,১১১,১০১,০১১,op3
 হেক্সাডেসিমেল সংখ্যা পদ্ধতিতে B ও E এর যোগফল হবে-, (25)16, (F)16, (19)16, (BE)16,op3
 হেক্সাডেসিমেল দুটি ডিজিটের যোগফল ১৬ এর নিচে হলে যে সংখ্যা হবে তাই হবে এবং ক্যারি হবে-,০০,০১,১৬,০৬,op1
 (১.৭৫)১০=()২,(১১)২,(১১)২,(১০১)২,(০১১)২,op1
 (৬৪)৮ এর বাইনারি মান কত?,১১০১০০,১০১০০১,১১০১১০,১১১০০১,op1
 চিহ্ন বা সাইনযুক্ত সংখ্যাকে বলে-,চিহ্ন মুক্ত,নম্বর,সাইন্ড নম্বর,বাইনারি নাম্বার,op3
 চিহ্ন বোঝানোর জন্য সাধারণত ব্যবহার করা হয়-,অতিরিক্ত বাইট,অতিরিক্ত সংখ্যা,অতিরিক্ত নম্বর,অতিরিক্ত বিট,op4
 বাইনারি সংখ্যাকে কত বিটে প্রকাশ করা হবে তা নির্ভর করে রেজিষ্ট্যারের-,বিটের উপর,শব্দ দৈর্ঘ্যরে উপর,শব্দের উপর,বিটের দৈর্ঘ্যরে উপর,op2
 2’s complement এর নির্ণয়ের সূত্র নিম্নরুপ-, 1’s complement+1, 1’s complement-1, 2” + সংখ্যাটি, 2” - সংখ্যাটি,op1
 ২৫০ কে বাইনারিতে প্রকাশ করতে গেলে কত বিট প্রয়োজন?,৪বিট,৩বিট,৯বিট,৫বিট,op3
 BCD কত বিটের কোড?,1বিট,4বিট,9বিট,8বিট,op2
 (469)10  এর BCD মান কত?, (010001101001)BCD, (100001001)BCD, (1001101001)BCD, (1010101010)BCD,op1
 EBCDIC কত বিটের কোড?,8 বিট,4 বিট,2 বিট,16 বিট,op1
 তিন বিট বিশিষ্ট বাইনারি কোডকে কী বলে?,অকটাল কোড,হেক্সাডেসিমেল কোড,বাইনারি কোড,অ্যাসকি কোড,op1
 চার বিটের বাইনারি কোডকে কী বলে?,অকটাল কোড,হেক্সাডেসিমেল কোড,বাইনারি কোড,অ্যাসকি কোড,op2
 বাইনারি নেগেটিভ সংখ্যা ও বাইনারি পজেটিভ সংখ্যা বুঝানোর জন্য সংখ্যার কোথায় অতিরিক্ত সাইন বিট ব্যবহার করা হয়?,সর্ববামে,ডানদিকে,যেকোন পার্শে,উভয় পার্শে,op1
 ঋণাত্মক সংখ্যা কয়টি উপায়ে গঠন করা যায়?,২টি,৩টি,৪টি,৫টি,op1
  আসকি কোডে মোট সংকেত সংখ্যা কত?,১২৮,২৫৬,৬৪,৫১২,op2
 জর্জ বুল কত সালে বুলিয়ান অ্যালজেবরা আবিস্কার করেন?,১৮৫৪,১৯৫৪,১৮৩৪,১৯৮৫,op1
 কত সালে জর্জ বুল গণিত ও যুক্তির মধ্যে সুসম্পর্ক স্থাপন করেন?,১৯২২,১৯৯৫,১৯৮৭,১৮৫৪,op4
 বুলিয়ান অ্যালজেবরায় প্রত্যেক চলকের কয়টি মান থাকে?,০২টি,০৪টি,০৩টি,০৭টি,op1
 বুলিয়ান অ্যালজেবরায় প্রত্যেক চলকের মান নিচের কোনটি সঠিক-,০ ও ১,১ ও ১,০ ও ০,০১ ও ১০,op1
 আধুনিক কম্পিউটার ও ডিজিটাল ইলেক্ট্রনিক্সে কয় ধরণের সংখ্যা পদ্ধতি ব্যবহৃত হয়?,২টি,৩টি,৪টি,৫টি,op3
 বুলিয়ান ধ্রবক কাকে বলে?,০ -কে,১ -কে,০ ও ১ কে,কোনটিই নয়,op3
 বুলিয়ান অ্যালজেবরায় কয় ধরণের মৌলিক যুক্তিমূলক অপারেশন হয়?,২ ধরনের,৩ ধরনের,৪ ধরনের,৫ ধরনের,op2
,,,,,
 যে সকল টেবিল বা সারণির মাধ্যমে বিভিন্ন গেইটের ফলাফল প্রকাশ করা হয় তাকে বলে-,সত্যক,সত্যক সারণি,টেবিল,সারণি,op2
,,,,,
 ২৩ টি ইনপুট দিলে ধাপ হবে-, 02, 04, 08, 16,op3
" A=1, B=0  এবং C=1  হলে", 01, 10, 00, 11,op3
" A=0, B=1 এবং C=0 হলে", 10, 11, 01, 00,op2
 মৌলিক লজিক গেইট-,২টি,4টি,3টি,5টি,op3
 নিচের কোনটি একই ধরনের গেইট?," AND, NOR, NOT"," OR, NOT, XNOR"," XOR, AND, NOT"," AND, NOT, OR",op4
 AND গেইটে A ও B দুটি ইনপুটই ০ হলে আউটপুট কত হবে?,১,০১,১০,০,op2
 দুটি NOR গেইটে - হিসেবে কাজ করে -,OR গেইট,AND গেইট,NOR গেইট,NAND গেইট,op1
 NAND গেইটে দুইটি ইনপুটই ১ হলে আউটপুট কত হবে?,১,০১,১০,০,op2
 কোন ধরনের গেইটে দুটি ইনপুটের মান একই মানের জন্য আউটপুট ১ এবং দুটি ভিন্ন মানের জন্য আউটপুট ০ হয়?,AND,NOR,XNOR,XOR,op4
 XNOR গেইট তৈরির জন্য XOR গেইটের সাথে যুক্ত করতে হয়-,NOT গেইট,NOR গেইট,AND গেইট,OR গেইট,op1
 সাধরণত দুটি বিট একই কিনা তা তুলনা করার জন্য কাজে ব্যবহৃত হয়-,XOR গেইট,XNOR গেইট,AND গেইট,OR গেইট,১৯০৭
