Question,op1,op2,op3,op4,ans
 ডাটা শব্দের বহুবচন কোনটি?, ডাটাজ, কালেকশন অব ডাটা, ডাটাম, ডাটাজেস,op3
 একটি ডাটা বেজ হলো কোনো কম্পিউটার সিস্টেমে সঞ্চিত উপাত্ত বা রেকর্ডসমূহর একটি ----?, কাঠামোবদ্ধ সংগ্রহ, মানসিক বিষয়সমূহ, অবকাঠামো, মানসিক অবকাঠামো,op1
 ডেটাবেজকে  আমরা কী বলতে পারি?, সিদ্বান্তের বিষয়, পরিকল্পনার পাথেয়, নিয়ন্ত্রনের অবকাঠামো, তথ্যভান্ডার,op4
 প্রতিটি ডেটাবেজ মূলত কী দ্বারা গঠিত হয়?,ক উলম্ব ও আনুভূমিক, ধারনা, অবকাঠামো, সারি ও কলাম,op4
 প্রতিটি কলামের একটি কী থাকে?, পিতৃ পরিচয়, শিরোনাম বা হোল্ডিং, বিষয় ভিত্তিক পরিচয়, সুন্দর চিত্র,op2
 ডেটাবেজকে নিয়ন্ত্রন করায় ব্যবহৃত হয়?,ক DBMS, BDMS, BMBS, SMBS,op1
 যেসকল ডেটাকেজ পরস্পরসম্পর্ক যুক্ত কয়েকটি ফাইল নিয়ে গঠিত সে সকল ডেটাবেজ কে কী বলে?, সম্পর্ক যুক্ত ডেটাবেজ, নিরিক্ষিত ডেটাবেজ, গুচ্ছ ডেটাবেজ, অনিয়ন্ত্রিত ডাটাবেজ,op1
 কে RDBMS বা রিলেশনাল ডাটাবেজ ম্যনেজমেন্ট সিস্টেমের প্রবর্তক করেন?, ইডগার কড, মার্গারেট থ্যাচার, মর্টিন লুথার, বিল গেইস্,op1
 MIS কথাটির পুর নাম কি?, ম্যানেজমেন্ট ইনপরমেসন সিস্টেম,  ম্যানেজমেন্ট ইন্টেলিজেন্ট সফটওয়ার, মর্ডান ইনফরমেশন সিস্টেম, ম্যানুয়্যাল ইন্টিলিজেন্ট সফটওয়্যার,op1
 দ্রুত কার্যকর ব্যবস্থা কে কী বলে কুয়েরি?,ক সার্চ, কুয়েরি, আইডেন্টিফাই, কালেক্ট,op2
 ডেটাটেবিলের ফিল্ড ও রেকর্ডের ওপর ভিওি করে যে কুয়েরি তৈরি করা হয়  তাকে কী বলে?,ক গেট কুয়েরি, সিলেক্ট কুয়েরি, বিল্ট কুয়েরি, ডিফাইন দ্যা সিস্টেম,op2
 কোন ডাইলগ বক্রের বিভিন্ন তথ্য পূরন করে যে কুয়েরি করা হয়  তাকে কী বলে?, Parameter Query,  Crosstab Query, Unmatched, Query Action Query,op1
 ডেটাবেজর বিভিন্ন কার্য সম্পাদনের জন্য কী ব্যবহার করা হয়?, SQL, QSL, ORACL, POXPRO,op1
 কে SQL তৈরি করে?, Bjarne stroustup, Adam Smith, San Jose Research Centre, Dennis Ritphie,op3
 নিউমেরিক্যাল এক্সপ্রেশন তৈরি করতে কোন অপারেট ব্যবহৃত হয়?, Comparison,  Logical,  Arithmation,  POXPRO,op3
 সংরক্ষিত ডেটাবেজ টেবিলে ডেটার বিভিন্ন উপাত্তকে সংক্ষিপ্ত আকারে উপস্থাপনের জন্য যে পদ্ধতি ব্যবহার করা হয় তাকে কী বলে?, ইনডেক্রিং, সটিং, কুয়েরি, ইনকুয়েরি,op3
 সুবিন্যাস্তভাবে সঠিক নিয়ম তথ্য সমূহের সূচি তৈরিকে কী বলে?,  ইনডেক্সিং,  সটিং,  কুয়েরি,  ইনকুয়েরি,op1
 যখন একটি মাত্র সম্পর্কের ভিতিতে ডেটাবেজ  তৈরি করা হয় তাকে বলে?,  বাইনারি রিলেশনশিপ,খ  ইউনারি  রিলেশনশিপ,  টাইনারি রিলেশনশিপ,  অটো রিলেশনশিপ,op2
 পরিচয়হীন লেনদেন ডেটার ব্যবহার বন্ধ করা প্রয়োজন কেন?, ডেটা সিকিউরিটির, ডেটা মডিফিকেশন, টারনারি রিলেশনশিপ, অটো আপডেট,op1
 ডেটার গোপনীয়তা রক্ষা করার জন্য কী করা হয়?, এনক্রিপশন অ্যালগরিদ, সাইফারটেক্রট, ডেটা এনক্রিপ্ট, পেইন টেক্রট,op3
 পাবলিক কী এনক্রিপশন কয় প্রকার?, ৩ প্রকার, কী বোর্ড এর সকল বোতম, ২ প্রকার, ৫ প্রকার,op1
 কোনটি ডেটাবেজ পোগ্রামের বহির্ভত?, ডি বেজ, ওরাকল, এ্যাক্সেস, ওয়ার্ড,op4
 রিলেসনশিপের ডিগ্রি কত প্রকার?, ২প্রকার, ৩প্রকার, ৪প্রকার, ৫প্রকার,বিট
 কোন কারনে সর্ট ধীর গতি সম্পন্ন?, ইনডেক্রিং আউটপুটের চেয়ে বেশি মেমরি, সটিং আউটপুটের চেয়ে বেশি মেমরি, কুয়েরি রান করতে বেশী মেমরি প্রয়োজন, ডেটা সর্ট করার প্রয়োজন হয় না,op2
 এনক্রিপশন বর্তমানে কত প্রকার?, ২প্রকার, ৩প্রকার, ৪প্রকার, ৫প্রকার,op2
 DBMS এর পূর্ন নাম কী?, Database management software, Data management System, Database management System, Database Mathematical System,op3
 কোনটি চিএ ভিত্তিক ডেটাবেজ সফটওয়ার?, Oracle, Ms-Assess, Ms-word, Power Point,op2
 মাইক্রো কম্পিউটারের আর্দশ ডেটাবেজ সফটওয়ার-, MS-Assess, Oracle, Delphi, MS-Excel,op1
 নিচের কোনটি ডেটাবেজ প্রোগ্রাম?, Oracle, MS-Assess, MS-word, Power Point,op1
 SQL এর পূর্ন নাম কী?, Structure query life, Student query language, Structured query language, Student Query language,op3
 SQL হলো-, দুর্বল ল্যাংগুয়েজ, শক্তি শালী ল্যাংগুয়েজ, DDL, DLD,op3
 SQL এর মূল সংগঠন কয়টি অংশ নিয়ে গঠিত ?, ২টি, ৩টি, ৪টি, ৫টি,op3
 ডেটাবেজকে আমরা কী বলতে পারি?, সিদ্বান্তের বিষয়, পরিকল্পনার পাথেয়, নিয়ন্রনের অবকাঠামো, তথ্য ভান্ডার,ঘ) তথ্য ভান্ডার
 প্রতিটি ডেটাবেজ মূলত কী দ্বারা গঠিত হয়?, উলম্ব ও আনুমানিক, ধারনা, অবকাঠামো, সারি ও কলাম,op4
 প্রতিটি কলামের একটি কী থাকে?, পিতৃ পরিচয়, শিরোনাম বা হোল্ডিং, বিষয় ভিত্তিক পরিচয়, সুন্দরচিত্র,খ) শিরোনাম বা হোল্ডিং
 ডেটাবেজকে নিয়ন্ত্রন করার জন্য কী ব্যবহার করা হয়?, DBMS, BDMS, DMBS, SMBS,op1
 প্রথম প্রজন্মের ডেটাবেজ ম্যানেজমেন্ট কোন দশকে আবিস্কৃত হয়?, ১৯৫০ সাল,  ১৯৬০ সাল, ১৯৭০ সাল, ১৯৮০ সাল,op3
 ১৯৯০ দশকের DBMS কে কোন ডেটাবেজ মডেল বলা হয়?, শ্রেনী বিন্যাসগত, নেটওয়ার্ক, ক ও খ উভয়, রিলেশনাল,op3
 দ্বিতীয় প্রজন্মের উইগঝ কোন দশকে আবিস্কৃত হয়?, ১৯৬০ সালে, ১৯৭০ সালে, ১৯৮০ সালে, ১৯৯০ সালে,op3
 রিলেশনাল ডেটাবেজ ম্যানেজমেন্ট সিস্টেম প্রবর্তক করেন-, ১৯৮০ সালে, ১৯৭০ সালে, ১৯৯৫ সালে, ১৯৫০ সালে,op2
 সর্ব প্রথম RDBMS প্রবর্তক করেন যিনি তার নাম-, Edgar frank codd, charles Babbage, Bil gates, Edgar Martain,op1
 যে সকল ডেটাবেজ পরস্পর সম্পর্ক যুক্ত কয়েটি ফাইল নিয়ে গঠিত সে সকল ডেটাবেজকে কী বলে?, সম্পর্ক যুক্ত ডেটাবেজ, নিরিক্ষিত ডেটাবেজ, গুচ্ছ ডেটাবেজ, বিল গেইটস,op1
 mis কথাটির পুরো নাম কি?, ম্যানেজমেন্ট ইনফরমেশন সিস্টেম, ম্যানেজমেন্ট ইন্টেলিজেন্ট, মর্ডান ইনফরমেশন সিস্টেম, ম্যানুয়াল ইন্টেলিজেন্ট সফটওয়্যার,op1
 RDBMS এর ডেটা কোন পদ্বিতির মাধ্যমে  যেকোন ধরনের কুয়েরি বের করে?, ইনডেক্সিং, সটিং, সিলেক্ট, ক ও খ উভয়,op1
 MS-ASSCESS পোগ্রাম তৈরি করে কোন প্রতিষ্ঠান?, Apply Company, Microsoft, HP, Machinosh,op2
 ডেটাবেজের ফিল্ডে টাইপের ধরন-, ৫ ধরনের, ৪ ধরনের, ৭ ধরনের, ১০ ধরনের,op4
 Text টাইপের সর্বোচ্চ বর্ণ টাইপ করা যায়?, ২৫৬টি, ১২৮টি, ২৫৫টি, ১২১টি,op3
 10:20pm সময় হবে-, Short Date, Medium Time, Long Time, General Time,op2
 সাধারনত বর্ণামূলক লেখা বা বর্ণনার জন্য কোন ফিল্ড ব্যবহার করা হয়?, 8192 Byte, 32 Byte, 16384  Byte, 65536 Byte,op4
 সাধারনত বর্ণনামূলক লেখা বা বর্ণনার জন্য কোন ফিল্ড ব্যবহার করা হয়?, Float, Memo, Currency, Logical,op3
 ডেটা টাইপের জন্য জায়গা প্রয়োজন–, 4 Byte, 1 Byte, 8 Byte, 16 Byte,op3
 ইন্টিজার ডেটা টাইপের জন্য জায়গা প্রয়োজন-, 1 Byte, 2 Byte, 4 Byte, 8 Byte,op1
 ডাবল ডেটা টাইপের মেমরি কত?, 1 Byte, 2 Byte, 4 Byte, 8 Byte,op4
 সিংগেল ডেটা টাইপের মেমরি কত?, 1 Byte, 2 Byte, 4 Byte, 8 Byte,op3
 যে সকল ডেটাবেজ পরস্পর সম্পর্ক যুক্ত কয়েকটি ফাইল নিয়ে গঠিত সেকল ডেটা বেজকে কী বলে?, সম্পর্কযুক্ত ডেটাবেজ, নিরিক্ষিত ডেটাবেজ, হায়ারার্কিকাল মডেম, অনিয়ন্ত্রিত ডেটাবেজ,op1
" কে RDBMS, রিলেশনাল ডেটাবেজ ম্যানেজমেন্ট সিস্টেমের প্রবর্তন করেন?", ইডগার কড, মার্গারেট থ্যাচার, মারটিন লুথার, বিল গেইস্,op1
 RDBMS ব্যবহার করে নিচের কোনটি সম্ভব?, টেলিভিশন দেখা, গান শোনা, আদমশুমারি ও ভোটার লিষ্ট তৈরি, স্যাটেলাইট তৈরি,op3
 ইনডেক্স তৈরির করার সময় ইনডেক্সের একটি -----দিতে হয়।, নাম, ফোন, রোল, ঠিকানা,op1
 একটি ফিল্ডে উপর ইনডেক্সিং করন তথ্য খুজে পেতে সময় লাগে-, অনেক, অল্প, দীর্ঘ সময়, প্রচুর সময়,op3
 ডেটাসমূহের ইনডেক্স করলে কাজের গতি-, বেড়ে যায়, কমে যায়, স্থির থাকে, পরিবর্তন হয়,op1
 যে সকল ডেটা টেবিলের মধ্যে রিলেশন স্থাপন করতে হবে সে গুলোতে কি থাকতে হবে?, কমন ফিল্ড, দুইটি ডেটা, কমন ফাইল, কমন টেবিল,op1
 একটি ফিল্ডকে কি ফিল্ড হিসেবে চিহ্নিত করা হবে ডেটাবেজ তৈরি করার জন্য-, সেকেন্ডারি, ফরেন, প্রাইমারি, রেকর্ড,op2
 ডেটাবেজ অন্তরভুক্ত টেবিল গুলোর মধ্যে কীভাবে রেকর্ড গুলো সস্পর্ক যুক্ত হবে তার উপর ভিত্তি করে ডেটাবেজ রিলেশনকে কয় ভাগে ভাগ করা যায়?, ২ভাগ, ৩  ভাগ, ৪ ভাগ, ৫ ভাগ,op2
 মাল্টি ন্যাশনাল কোম্পানির জন্য সফটওয়ার-, কিনতে হয়, ব্যবহার করতে হয়, গতি বাড়াতে হয়, আপডেট রাখতে হয়,op1
 কর্পোরেট ডেটাবেজকী ধরনের ডেটা সলিউশন?, এক-মুখী, বহু-মুখী, উভয় মুখী, ত্রি-মুখী,op2
 বছরে কোন একটি প্রতিষ্ঠানের কত জন কর্মচারী অবসর  নিভে তা জানা যায় কিসের মাধ্যমে?, অ্যালগল, ফ্লোচার্ট, ডেটাবেজ, ট্রানসমিশন,op2
 ডেটাকে এনক্রিপ্টশন ও ডিক্রিপ্টশন করার পদ্ধতিকে কী বলে?, ক্রিপ্টোগ্রাপী, কিপ্ট্রোলজী, এনক্রিপ্ট্রিলজি, ডিকোগ্রাপী,op1
 ডেটার গোপনীয়তা রক্ষা করার দায়িত্ব পালন করে কে?, ডেটাবেজ কন্ট্রোলার, ডেটাবেজ অ্যাডমিনেস্ট্রেটর, ডেটাবেজ চেয়ারম্যান, ডেটাবেজ প্রোক্টর,op2
 ডেটা কমেউনিকেশনের ক্ষেত্রে ডেটার নিরাপত্তা-, গুরুত্বপূর্ন, প্রয়োজন হয় না, অত্যন্ত গুরুতপূর্ন, কোনটিই নয়,op2
 ডেটা এনক্রিপ্ট করার পদ্ধতি-, ২টি, ৩টি, ৪টি, ৫টি,op2
 সিজার কোডে কোন অক্ষরকে তার পরবর্তী ---- অক্ষর দ্বারা প্রতিস্থাপন করা হয়?, ১ম অক্ষর, ২য় অক্ষর, ৩য় অক্ষর, ৪র্থ অক্ষর,op3
 ডেটাবেজ ম্যানেজমেন্ট সফটওয়্যার-,i. Oracle,ii. foxpro,iii. Microsoft,নিচের কোনটি সঠিক?,"i, ii ও iii"
 ডেটাবেজ ম্যানেজমেন্ট সিস্টেমের কাজ -,i. অপ্রয়োজনীয় ডেটা ও রেকর্ড মুছেফেলা যায়।,ii. তথ্য নিয়ে অনুসন্দান করা যায়।,iii. তথ্যের ডুপ্লিকেশন কমনো যায়।,নিচের কোনটি সঠিক?,"i, ii ও iii"
 SQL এর মূল সংগঠনগুলো হলো -,i. from,ii. to,iii. select,নিচের কোনটি সঠিক?,i ও iii
 SQL এর মূল সংগঠনের অংশ -,i. Select,ii. from,iii. where,নিচের কোনটি সঠিক?,"i, ii ও iii"
 SQL এর বিভিন্ন কাজের জন্য ব্যবহার করা হয় –,i. ডেটা কুয়েরি,ii. ডেটা সন্নিবেশ করা,iii. অবজেক্ট তৈরি করা,নিচের কোনটি সঠিক?,"i, ii ও iii"
 SQL QUERY হলো -,i. Unior QUERY,ii. pass trough QUERY,iii. sub QUERY,নিচের কোনটি সঠিক?,"i, ii ও iii"
