Question,op1,op2,op3,op4,ans
 টেলিকমিউনিকেশন অর্থ কী?,কাছের যোগাযোগ,দূরবর্তী যোগাযোগ,কথোপকথন,যোগাযোগ,op2
 কম্পিউটার কিংবা অন্য কোনো যন্ত্রের সাহায্যে ডেটাকে এক স্থান থেকে অন্য স্থানে কিংবা এক,ডিভাইস থেকে অন্য ডিভাইসে স্থানান্তরের প্রক্রিয়াকে কী বলে?,কম্পিউটার নেটওয়ার্ক,ডেটা কমিউনিকেশন,কমিউনিকেশন,op3
 ডেটা কমিউনিকেশন প্রক্রিয়া কয়টি ধাপে সম্পন্ন হয়ে থাকে?,২টি,৩টি,৪টি,৫টি,op4
 মোবাইল ফোন ডেটা কমিউনিকেশনের কোন পদ্ধতির অন্তর্ভূক্ত?, Simplex Mode, Half Duplex, Full Duplex Mode, Simple Mode,op3
" ক্লোর, কোডিং, বাফার আবরণ দিয়ে নিম্নের কোনটি তৈরী হয়?",অপটিক্যাল ফাইবার,টুইস্টেড পেয়ার,কো-এক্সিয়াল,হাব,op1
 যে প্রক্রিয়ার সুষ্ঠু ও সাবলীলভাবে যোগাযোগ সাধিত হয় তাকে কী বলে?,কম্পিউটার সিস্টেম,কমিউনিকেশন সিস্টেম,মোবাইল সিস্টেম,মেইলিং সিস্টেম,op2
 নিচের কোনটি কমিউনিকেশন মাধ্যম নয়?,মোবাইল ফোন,ই-মেইল,ইন্টারনেট,বিমান,op4
 কোনো ডকুমেন্ট মেইলের মাধ্যমে একস্থানে হতে অন্যস্থানে প্রেরণ কোন ধরনের কমিউনিকেশন সিস্টেম?, Optical Communication System, Radioi Communication System, Duplex Communication System, Digital Communication System,op4
 নিম্নের কোনটি রেডিও সিগন্যালের মাধ্যমে প্রেরণ করা হয়?,অপটিক্যাল কমিউনিকেশন সিস্টেম,রেডিও কমিউনিকেশন সিস্টেম,ডুপ্লেক্স কমিউনিকেশন সিস্টেম,সবগুলো,op1
 যে কমিউনিকেশনের সিস্টেমের মাধ্যমে প্রেরক ও প্রাপক একই সাথে তথ্য বিনিময় করতে পারে তাকে কী,বলে?,কৌশলগত কমিউনিকেশন সিস্টেম,হাফ ডুপ্লেক্স কমিউনিকেশন সিস্টেম,ডুপ্লেক্স কমিউনিকেশন সিস্টেম,op3
 কমিউনিকেশন সিস্টেমের মৌলিক উপাদান কয়টি?,৩টি,৪টি,৫টি,৬টি,op3
 ট্রান্সমিশন সিস্টেম হলো?,মাধ্যম,প্রাপক,প্রেরক,গন্তব্য,op3
 নিম্নের কোনটি কম্পিউটারের ডিজিটাল সংকেতকে অ্যানালগ সংকেতে পরিণত করে টেলিফোন যোগাযোগ,ব্যবস্থার দ্বারা গ্রাহকের নিকট প্রেরণ করে?,মডুলেটর,ডিমডুলেটর,ডিকোডার,op2
